ID,TOTAL_TOPICS,UNIQUE_TOPICS,PAGE_SIMILARITY,PAGE_VARIANCE,BOOLEAN_PAGE_VARIANCE,ROBOT
TLSowGoBCue8G08EE2Fa,38,35,0.921052632,3.52,0.175301549,1
UbSowGoBCue8G08EE2Fa,3,3,1,0,0,1
UrSowGoBCue8G08EE2Fa,215,500,2.325581395,124.6181134,0.105546695,0
VbSowGoBCue8G08EE2Fa,5,5,1,0,0,1
WLSowGoBCue8G08EE2Fa,29,11,0.379310345,2.448979592,0.091211923,0
WbSowGoBCue8G08EE2Fa,3687,500,0.135611608,47.13979913,0.185708649,1
X7SowGoBCue8G08EE2Fa,109,500,4.587155963,83.1384083,0.1592459,1
i7SowGoBCue8G08ENmIL,28,500,17.85714286,46.42,0.141986107,0
jLSowGoBCue8G08ENmIL,31,500,16.12903226,51.38271605,0.164066557,1
j7SowGoBCue8G08ENmIL,81,40,0.49382716,1.982421875,0.135502939,0
kLSowGoBCue8G08ENmIL,16,14,0.875,2.75,0.195788242,1
l7SowGoBCue8G08ENmIL,1,1,1,0,0,0
mLSowGoBCue8G08ENmIL,179,50,0.279329609,2.887933884,0.161391801,0
mbSowGoBCue8G08ENmIL,281,99,0.352313167,3.433633218,0.166834782,0
pbSowGoBCue8G08ENmIL,5,7,1.4,0,0,1
sbSowGoBCue8G08ENmIL,681,500,0.734214391,109.2097688,0.153234958,0
srSowGoBCue8G08ENmIL,5,500,100,0,0,1
LLSowGoBCue8G08ENmMM,3,3,1,0,0,0
LbSowGoBCue8G08ENmMM,1,1,1,0,0,0
LrSowGoBCue8G08ENmMM,31,500,16.12903226,75.12396694,0.131087856,0
MbSowGoBCue8G08ENmMM,6,2,0.333333333,0,0,0
MrSowGoBCue8G08ENmMM,194,500,2.577319588,105.6058333,0.148842834,0
NrSowGoBCue8G08ENmMM,779,500,0.641848524,95.9503208,0.126467813,0
OLSowGoBCue8G08ENmMM,31,500,16.12903226,124.546875,0.080535086,0
ObSowGoBCue8G08ENmMM,16,4,0.25,0,0,0
OrSowGoBCue8G08ENmMM,10,3,0.3,0.32,0.035697918,0
QLSowGoBCue8G08ENmMM,0,0,NaN,NaN,NaN,1
kbSowGoBCue8G08ENmQO,390,500,1.282051282,99.59665885,0.156746094,0
k7SowGoBCue8G08ENmQO,31,16,0.516129032,1.905325444,0.154468804,0
lLSowGoBCue8G08ENmQO,0,0,NaN,NaN,NaN,0
lbSowGoBCue8G08ENmQO,92,500,5.434782609,77.29492188,0.160033424,0
orSowGoBCue8G08ENmQP,203,500,2.463054187,74.05514706,0.167300287,1
vLSowGoBCue8G08ETmXR,24,500,20.83333333,55.515625,0.095369606,0
v7SowGoBCue8G08ETmXR,82,500,6.097560976,92.16,0.142271892,0
wLSowGoBCue8G08ETmXR,150,500,3.333333333,49.01443787,0.139575882,0
wbSowGoBCue8G08ETmXR,10,500,50,0,0,0
wrSowGoBCue8G08ETmXR,81,500,6.172839506,96.51303155,0.127670929,0
w7SowGoBCue8G08ETmXR,10,6,0.6,0,0,1
yrSowGoBCue8G08ETmXR,5,500,100,0,0,0
zLSowGoBCue8G08ETmXR,3,3,1,0,0,1
zrSowGoBCue8G08ETmXR,3,3,1,0,0,1
0bSowGoBCue8G08ETmXR,146,500,3.424657534,104.8006198,0.145955495,0
0rSowGoBCue8G08ETmXR,2,2,1,0,0,0
1LSowGoBCue8G08ETmXR,218,500,2.293577982,104.6637572,0.144291665,0
1bSowGoBCue8G08ETmXR,49,500,10.20408163,94.99305556,0.111006125,0
1rSowGoBCue8G08ETmXR,40,500,12.5,0,0,0
17SowGoBCue8G08ETmXR,172,500,2.906976744,47.352,0.15454977,0
2LSowGoBCue8G08ETmXR,6,3,0.5,0.48,0.075858076,0
2bSowGoBCue8G08ETmXR,15,500,33.33333333,0,0,0
2rSowGoBCue8G08ETmXR,2,2,1,0,0,0
27SowGoBCue8G08ETmXR,0,0,NaN,NaN,NaN,0
4rSowGoBCue8G08ETmXR,50,500,10,114.9846939,0.107719538,0
5LSowGoBCue8G08ETmXR,116,500,4.310344828,19.44005102,0.087672753,0
6LSowGoBCue8G08ETmXR,2,2,1,0,0,0
6bSowGoBCue8G08ETmXR,0,0,NaN,NaN,NaN,1
_LSowGoBCue8G08ETmXR,883,500,0.566251416,102.8227347,0.15822973,0
_bSowGoBCue8G08ETmXR,20,500,25,0,0,0
_rSowGoBCue8G08ETmXR,67,500,7.462686567,73.00189036,0.163273952,0
_7SowGoBCue8G08ETmXR,204,500,2.450980392,105.027832,0.142787533,0
ALSowGoBCue8G08ETmbR,5,8,1.6,0,0,1
prSowGoBCue8G08ENmIL,0,0,NaN,NaN,NaN,1
d7SowGoBCue8G08ETmbS,0,0,NaN,NaN,NaN,0
eLSowGoBCue8G08ETmbS,103,500,4.854368932,124.6714876,0.062560579,0
e7SowGoBCue8G08ETmbS,1,1,1,0,0,1
fbSowGoBCue8G08ETmbS,1,1,1,0,0,1
frSowGoBCue8G08ETmbS,48,16,0.333333333,1.129251701,0.089007076,1
nrSowGoBCue8G08ETmbS,297,78,0.262626263,2.937381853,0.142490048,0
n7SowGoBCue8G08ETmbS,8,2,0.25,0,0,0
oLSowGoBCue8G08ETmbS,0,0,NaN,NaN,NaN,0
obSowGoBCue8G08ETmbS,179,500,2.793296089,124.9384,0.10630877,0
orSowGoBCue8G08ETmbS,3,3,1,0,0,1
QbSowGoBCue8G08ENmMM,0,0,NaN,NaN,NaN,1
WbSowGoBCue8G08ETmfT,121,500,4.132231405,42.34765432,0.153199906,0
WrSowGoBCue8G08ETmfT,108,500,4.62962963,58.11426593,0.121950417,0
N7SowGoBCue8G08ENmMM,10,500,50,0,0,0
XLSowGoBCue8G08ETmfT,131,500,3.816793893,97.83673469,0.128672007,0
XbSowGoBCue8G08ETmfT,160,500,3.125,44.41082236,0.149893105,0
XrSowGoBCue8G08ETmfT,38,500,13.15789474,30.8671875,0.169055758,0
YLSowGoBCue8G08ETmfT,0,0,NaN,NaN,NaN,1
YbSowGoBCue8G08ETmfT,84,40,0.476190476,2.64516129,0.087482712,0
YrSowGoBCue8G08ETmfT,3,3,1,0,0,0
Y7SowGoBCue8G08ETmfT,5,500,100,0,0,0
ZLSowGoBCue8G08ETmfT,58,500,8.620689655,88.48140496,0.155476833,0
ZbSowGoBCue8G08ETmfT,14,4,0.285714286,0.375,0.021753418,0
Z7SowGoBCue8G08ETmfT,111,500,4.504504505,87.44212963,0.154230605,0
aLSowGoBCue8G08ETmfT,1,1,1,0,0,0
abSowGoBCue8G08ETmfT,596,500,0.838926174,16.12501134,0.15141866,0
a7SowGoBCue8G08ETmfT,77,500,6.493506494,122.2902494,0.091525692,0
bLSowGoBCue8G08ETmfT,2,2,1,0,0,1
37SowGoBCue8G08ETmjV,92,101,1.097826087,7.5825,0.107792522,0
07SowGoBCue8G08ETmXR,14,500,35.71428571,124.5,0.055609997,0
s7SowGoBCue8G08ENmIL,5,5,1,0,0,1
6rSowGoBCue8G08ETmjV,4,4,1,0,0,1
67SowGoBCue8G08ETmjV,180,500,2.777777778,120.6636487,0.115902708,0
7LSowGoBCue8G08ETmjV,15,5,0.333333333,0,0,0
o7SowGoBCue8G08ENmQP,178,500,2.808988764,86.12226067,0.154825037,1
7bSowGoBCue8G08ETmjV,164,500,3.048780488,117.8953086,0.125340167,0
YLSowGoBCue8G08EE2Fa,100,500,5,62.67428571,0.174914911,1
7rSowGoBCue8G08ETmjV,0,0,NaN,NaN,NaN,1
77SowGoBCue8G08ETmjV,0,0,NaN,NaN,NaN,1
8LSowGoBCue8G08ETmjV,92,101,1.097826087,7.5825,0.107792522,0
8bSowGoBCue8G08ETmjV,156,500,3.205128205,108.0809042,0.07161354,0
8rSowGoBCue8G08ETmjV,0,0,NaN,NaN,NaN,0
9LSowGoBCue8G08ETmjV,2,2,1,0,0,1
97SowGoBCue8G08ETmjV,2,2,1,0,0,1
-7SowGoBCue8G08ETmjV,3,3,1,0,0,1
_7SowGoBCue8G08ETmjV,3,3,1,0,0,1
AbSowGoBCue8G08ETmnV,0,0,NaN,NaN,NaN,1
ErSowGoBCue8G08ETmnV,3,3,1,0,0,1
E7SowGoBCue8G08ETmnV,23,500,21.73913043,70.11111111,0.100579829,0
FrSowGoBCue8G08EV2lG,0,0,NaN,NaN,NaN,0
HLSowGoBCue8G08EV2lG,2,2,1,0,0,1
P7SowGoBCue8G08EV2lG,35,500,14.28571429,122.7160494,0.046233269,0
6rSowGoBCue8G08ETmXR,5,6,1.2,0,0,1
QbSowGoBCue8G08EV2lG,6,3,0.5,0,0,0
p7SowGoBCue8G08ENmIL,5,7,1.4,0,0,1
QrSowGoBCue8G08EV2lG,15,6,0.4,0,0,0
W7SowGoBCue8G08ETmfT,224,500,2.232142857,86.41416667,0.120093231,0
Q7SowGoBCue8G08EV2lG,36,500,13.88888889,81.02,0.10230842,0
GLSowGoBCue8G08ECmHa,112,500,4.464285714,21.625,0.147305817,0
RLSowGoBCue8G08EV2lG,3,3,1,0,0,1
V7SowGoBCue8G08EV2lG,6,2,0.333333333,0,0,0
WLSowGoBCue8G08EV2lG,76,500,6.578947368,29.23828125,0.014706855,0
WbSowGoBCue8G08EV2lG,138,500,3.623188406,48.36588542,0.173810382,0
WrSowGoBCue8G08EV2lG,20,500,25,92.625,0.022781968,0
W7SowGoBCue8G08EV2lG,106,500,4.716981132,121.8605619,0.11428735,0
XLSowGoBCue8G08EV2lG,104,500,4.807692308,120.7158203,0.117893947,0
Y7SowGoBCue8G08EV2lG,0,0,NaN,NaN,NaN,0
abSowGoBCue8G08EV2lG,0,0,NaN,NaN,NaN,0
bLSowGoBCue8G08EV2lG,2,2,1,0,0,1
7LSowGoBCue8G08EV2lI,20,500,25,0,0,0
kbSowGoBCue8G08ENmIL,3,3,1,0.75,0.118528244,1
7bSowGoBCue8G08EV2lI,273,500,1.831501832,9.644909972,0.165487716,0
#NAME?,104,500,4.807692308,82.84185493,0.121855938,0
#NAME?,0,0,NaN,NaN,NaN,1
47SowGoBCue8G08ETmXR,61,500,8.196721311,78.16326531,0.185358837,0
ELSowGoBCue8G08EV2pI,0,0,NaN,NaN,NaN,1
EbSowGoBCue8G08EV2pI,0,0,NaN,NaN,NaN,1
ErSowGoBCue8G08EV2pI,11,500,45.45454545,69.38888889,0.04956133,0
ebSowGoBCue8G08ETmbS,31,500,16.12903226,46.06,0.107636612,0
E7SowGoBCue8G08EV2pI,14,500,35.71428571,93.1875,0.035108389,0
FLSowGoBCue8G08EV2pI,138,500,3.623188406,49.11000453,0.136780213,0
FbSowGoBCue8G08EV2pI,6,4,0.666666667,0.5,0.029004559,0
X7SowGoBCue8G08ETmfT,59,500,8.474576271,111.52,0.092922716,0
F7SowGoBCue8G08EV2pI,174,500,2.873563218,78.04369798,0.161059582,0
GLSowGoBCue8G08EV2pI,283,500,1.766784452,11.8241,0.150144599,0
YbSowGoBCue8G08EE2Fa,150,500,3.333333333,73.58459357,0.155383396,1
GbSowGoBCue8G08EV2pI,5,5,1,0,0,0
GrSowGoBCue8G08EV2pI,34,500,14.70588235,99.75206612,0.156880918,0
HLSowGoBCue8G08EV2pI,16,500,31.25,49.90123457,0.131626579,0
HrSowGoBCue8G08EV2pI,491,500,1.018329939,58.38682942,0.151138186,0
JrSowGoBCue8G08EV2pI,0,0,NaN,NaN,NaN,0
NLSowGoBCue8G08EV2pI,14,500,35.71428571,70.02777778,0.114985899,0
qLSowGoBCue8G08ENmIL,7,10,1.428571429,2.5,0.103102852,1
NbSowGoBCue8G08EV2pI,20,2,0.1,0,0,0
N7SowGoBCue8G08EV2pI,115,500,4.347826087,68.0893595,0.171316393,0
PLSowGoBCue8G08EV2pI,198,500,2.525252525,120.1742012,0.13828011,0
QLSowGoBCue8G08EV2pI,104,500,4.807692308,124.7513007,0.097582952,0
FLSowGoBCue8G08ETmnV,337,500,1.483679525,47.68784294,0.166954327,0
QbSowGoBCue8G08EV2pI,4,4,1,0,0,1
SLSowGoBCue8G08EV2pI,12,4,0.333333333,0,0,0
SbSowGoBCue8G08EV2pI,2,2,1,0,0,1
TrSowGoBCue8G08EV2pI,35,21,0.6,2.395833333,0.157020875,0
T7SowGoBCue8G08EV2pI,0,0,NaN,NaN,NaN,1
UbSowGoBCue8G08EV2pI,258,500,1.937984496,80.61575979,0.161074069,0
pLSowGoBCue8G08ENmQP,240,500,2.083333333,90.46162507,0.154998029,1
U7SowGoBCue8G08EV2pI,5,19,3.8,0,0,1
QrSowGoBCue8G08ENmMM,0,0,NaN,NaN,NaN,1
VLSowGoBCue8G08EV2pI,63,500,7.936507937,79.84,0.040159518,0
bbSowGoBCue8G08ETmfT,0,0,NaN,NaN,NaN,1
VrSowGoBCue8G08EV2pI,4,4,1,0,0,1
V7SowGoBCue8G08EV2pI,12,4,0.333333333,0,0,0
qbSowGoBCue8G08ENmIL,4,4,1,0,0,1
TbSowGoBCue8G08EE2Fa,69,500,7.246376812,45.43310658,0.190815334,1
krSowGoBCue8G08ENmIL,13,16,1.230769231,3.555555556,0.11021726,1
XLSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,1
-7SowGoBCue8G08EV2lI,0,0,NaN,NaN,NaN,1
cLSowGoBCue8G08EV2pJ,1,1,1,0,0,0
cbSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,1
YrSowGoBCue8G08EE2Fa,157,500,3.184713376,86.42627599,0.152195265,1
qrSowGoBCue8G08ENmIL,5,5,1,1.111111111,0.210420215,1
RbSowGoBCue8G08EV2lG,3,3,1,0,0,1
QrSowGoBCue8G08EV2pI,50,500,10,63.13265306,0.166736046,1
orSnwGoBCue8G08E_WCX,1697,500,0.294637596,73.45550859,0.185229298,1
gbSowGoBCue8G08EV2pJ,257,500,1.945525292,116.7812833,0.120076393,0
pbSowGoBCue8G08ENmQP,137,500,3.649635036,65.46885012,0.182935596,1
grSowGoBCue8G08EV2pJ,5,6,1.2,0,0,0
PbSowGoBCue8G08EV2pI,292,500,1.712328767,107.6541155,0.133889965,0
Q7SowGoBCue8G08ENmMM,0,0,NaN,NaN,NaN,1
hLSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,1
jLSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,1
AbSowGoBCue8G08ETmbR,3,3,1,0,0,1
j7SowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,0
kLSowGoBCue8G08EV2pJ,18,5,0.277777778,0.25,0.00808781,0
67SowGoBCue8G08ETmXR,2,2,1,0,0,1
lLSowGoBCue8G08EV2pJ,18,3,0.166666667,0,1.23E-16,0
k7SowGoBCue8G08ENmIL,12,12,1,2.25,0.162694871,1
Y7SowGoBCue8G08EE2Fa,255,500,1.960784314,83.23662307,0.177733801,1
lbSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,0
lrSowGoBCue8G08EV2pJ,70,500,7.142857143,88.66942149,0.121660743,0
q7SowGoBCue8G08ENmIL,4,4,1,0,0,1
l7SowGoBCue8G08EV2pJ,82,500,6.097560976,104.2447917,0.140077581,0
mLSowGoBCue8G08EV2pJ,1,1,1,0,0,1
XbSowGoBCue8G08EV2pJ,3,3,1,0,0,1
nLSowGoBCue8G08EV2pJ,35,500,14.28571429,121.5833333,0.124267898,0
nbSowGoBCue8G08EV2pJ,276,500,1.811594203,100.4162849,0.162023911,0
brSowGoBCue8G08ETmfT,5,7,1.4,0,0,1
prSowGoBCue8G08ENmQP,164,500,3.048780488,66.00057455,0.181280536,1
obSowGoBCue8G08EV2pJ,33,500,15.15151515,50.28395062,0.185941812,0
orSowGoBCue8G08EV2pJ,3,1,0.333333333,0,0,0
rLSowGoBCue8G08ENmIL,2,2,1,0.5,0.125500494,1
o7SowGoBCue8G08EV2pJ,184,500,2.717391304,99.64583333,0.130002205,0
o7SowGoBCue8G08ETmbS,5,7,1.4,0,0,1
pbSowGoBCue8G08EV2pJ,6,2,0.333333333,0,0,0
prSowGoBCue8G08EV2pJ,497,500,1.006036217,91.02012047,0.155506997,0
rLSowGoBCue8G08EV2pJ,2,2,1,0,0,0
rbSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,1
rrSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,1
sbSowGoBCue8G08EV2pJ,4,2,0.5,0,0,0
crSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,1
ZLSowGoBCue8G08EE2Fa,118,500,4.237288136,49.14819945,0.178892123,1
RLSowGoBCue8G08ENmMM,1,1,1,0,0,1
t7SowGoBCue8G08EV2pJ,166,500,3.012048193,92.0828,0.123704507,0
uLSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,0
rbSowGoBCue8G08ENmIL,5,500,100,0,0,1
wbSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,0
0bSowGoBCue8G08EV2pJ,9,3,0.333333333,0,0,0
0rSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,0
07SowGoBCue8G08EV2pJ,4,2,0.5,0,0,0
1LSowGoBCue8G08EV2pK,15,500,33.33333333,0,0,0
b7SowGoBCue8G08ETmfT,0,0,NaN,NaN,NaN,1
1bSowGoBCue8G08EV2pK,10,500,50,0,0,0
1rSowGoBCue8G08EV2pK,0,0,NaN,NaN,NaN,0
17SowGoBCue8G08EV2pK,5,500,100,0,0,0
3bSowGoBCue8G08EV2pK,10,6,0.6,0,0,0
3rSowGoBCue8G08EV2pK,53,10,0.188679245,1.619377163,0.086856459,0
p7SowGoBCue8G08ENmQP,221,500,2.262443439,77.97017433,0.162808999,1
37SowGoBCue8G08EV2pK,49,500,10.20408163,75.68595041,0.088151957,0
4LSowGoBCue8G08EV2pK,1,1,1,0,0,0
4bSowGoBCue8G08EV2pK,0,0,NaN,NaN,NaN,0
_bSowGoBCue8G08EV2pK,0,0,NaN,NaN,NaN,0
G7SowGoBCue8G08EYWv2,9,5,0.555555556,1.111111111,0.091475915,0
HLSowGoBCue8G08EYWv2,24,500,20.83333333,124.75,0.062749247,0
HbSowGoBCue8G08EYWv2,0,0,NaN,NaN,NaN,0
HrSowGoBCue8G08EYWv2,4,4,1,0,0,0
H7SowGoBCue8G08EYWv2,836,500,0.598086124,122.4271869,0.129861127,0
IbSowGoBCue8G08EYWv2,118,105,0.889830508,6.128418549,0.124481762,0
IrSowGoBCue8G08EYWv2,87,500,5.747126437,117.5190972,0.114604819,0
JLSowGoBCue8G08EYWv2,4,2,0.5,0,0,1
brSowGoBCue8G08EYWv3,2,2,1,0,0,1
p7SowGoBCue8G08EYWv3,2,2,1,0,0,1
17SowGoBCue8G08EYWv3,3,3,1,0.75,0.118528244,1
rrSowGoBCue8G08ENmIL,4,4,1,0,0,1
-7SowGoBCue8G08EYWv4,13,500,38.46153846,119.76,0.060239277,0
_LSowGoBCue8G08EYWv4,23,500,21.73913043,122.3265306,0.074823112,0
ALSowGoBCue8G08EYWz4,11,500,45.45454545,110.4444444,0.067727585,0
ArSowGoBCue8G08EYWz4,153,500,3.267973856,105.568,0.145477864,0
CrSowGoBCue8G08EYWz4,30,8,0.266666667,1.49112426,0.126545484,0
C7SowGoBCue8G08EYWz4,69,36,0.52173913,2.308390023,0.131066729,0
DrSowGoBCue8G08EYWz4,28,500,17.85714286,119.98,0.110943814,0
RrSowGoBCue8G08EV2lG,1,1,1,0,0,1
EbSowGoBCue8G08EYWz4,88,500,5.681818182,12.67063277,0.148782902,0
FbSowGoBCue8G08EYWz4,6,2,0.333333333,0,0,0
FrSowGoBCue8G08EYWz4,3,1,0.333333333,0,0,0
NbSowGoBCue8G08EYWz4,25,500,20,0,0,0
OLSowGoBCue8G08EYWz4,147,101,0.68707483,5.549861496,0.148278808,0
ObSowGoBCue8G08EYWz4,42,500,11.9047619,124.5,0.055609997,0
PLSowGoBCue8G08EYWz4,12,3,0.25,0,2.50E-16,0
ZbSowGoBCue8G08EE2Fa,108,500,4.62962963,70.86882716,0.164658661,1
PbSowGoBCue8G08EYWz4,65,500,7.692307692,0,0,0
PrSowGoBCue8G08EYWz4,119,500,4.201680672,60.16012397,0.169061686,0
P7SowGoBCue8G08EYWz4,12,4,0.333333333,0,0,0
RbSowGoBCue8G08EYWz4,468,500,1.068376068,77.34060354,0.165148342,0
RrSowGoBCue8G08EYWz4,0,0,NaN,NaN,NaN,0
R7SowGoBCue8G08EYWz4,15,500,33.33333333,0,0,0
SLSowGoBCue8G08EYWz4,30,26,0.866666667,2.082840237,0.198707226,0
SbSowGoBCue8G08EYWz4,112,74,0.660714286,3.568979592,0.160775238,0
VbSowGoBCue8G08EYWz4,104,500,4.807692308,119.0854592,0.085558679,0
VrSowGoBCue8G08EYWz4,5,2,0.4,0.222222222,5.31E-06,0
7LSowGoBCue8G08ETmXR,0,0,NaN,NaN,NaN,1
V7SowGoBCue8G08EYWz4,954,500,0.524109015,47.10622124,0.167079149,0
WbSowGoBCue8G08EYWz4,2,2,1,0,0,0
XLSowGoBCue8G08EYWz4,5,500,100,0,0,0
XbSowGoBCue8G08EYWz4,20,500,25,92.8125,0.025894686,0
YrSowGoBCue8G08EYWz4,531,500,0.941619586,47.62804967,0.15656525,0
Y7SowGoBCue8G08EYWz4,37,6,0.162162162,1.25443787,0.083814106,0
ZLSowGoBCue8G08EYWz4,11,500,45.45454545,93.375,0.041707498,0
ZbSowGoBCue8G08EYWz4,137,500,3.649635036,118.6574622,0.120496809,0
hbSowGoBCue8G08EV2pJ,0,0,NaN,NaN,NaN,1
h7SowGoBCue8G08Ea2xS,15,500,33.33333333,0,0,0
ibSowGoBCue8G08Ea2xS,94,46,0.489361702,3.243055556,0.11503501,0
nrSowGoBCue8G08Ea2xS,5,7,1.4,0,0,0
n7SowGoBCue8G08Ea2xS,95,500,5.263157895,62.44734694,0.171430761,0
oLSowGoBCue8G08Ea2xS,44,16,0.363636364,2.24852071,0.117442259,0
obSowGoBCue8G08Ea2xS,30,14,0.466666667,1.704142012,0.161396837,0
orSowGoBCue8G08Ea2xS,0,0,NaN,NaN,NaN,1
pLSowGoBCue8G08Ea2xS,2,2,1,0,0,0
Q7SowGoBCue8G08EV2pI,8,17,2.125,4.25,0.107577082,1
prSowGoBCue8G08Ea2xS,13,8,0.615384615,1.555555556,0.059338772,0
rrSowGoBCue8G08Ea2xS,11,500,45.45454545,93.375,0.041707498,0
r7SowGoBCue8G08Ea2xS,60,500,8.333333333,118.0634921,0.13479573,0
s7SowGoBCue8G08Ea2xS,36,500,13.88888889,47.99,0.154817646,1
2LSowGoBCue8G08EV2pK,51,500,9.803921569,111.308642,0.124763174,0
tLSowGoBCue8G08Ea2xS,359,500,1.39275766,77.48135208,0.156697287,0
urSowGoBCue8G08Ea2xS,15,500,33.33333333,0,0,0
yrSowGoBCue8G08Ea2xS,31,500,16.12903226,121.7142857,0.086625028,0
y7SowGoBCue8G08Ea2xS,0,0,NaN,NaN,NaN,1
zLSowGoBCue8G08Ea2xS,0,0,NaN,NaN,NaN,1
zbSowGoBCue8G08Ea2xS,0,0,NaN,NaN,NaN,1
zrSowGoBCue8G08Ea2xS,0,0,NaN,NaN,NaN,1
z7SowGoBCue8G08Ea2xS,0,0,NaN,NaN,NaN,1
0LSowGoBCue8G08Ea2xS,16,500,31.25,93.5625,0.047061935,0
0bSowGoBCue8G08Ea2xS,32,6,0.1875,1.313609467,0.11679689,0
AbSowGoBCue8G08EYWz4,11,500,45.45454545,110.4444444,0.067727585,0
07SowGoBCue8G08Ea2xS,0,0,NaN,NaN,NaN,1
1bSowGoBCue8G08Ea2xS,2,2,1,0,0,0
1LSowGoBCue8G08Ea2xS,3,1,0.333333333,0,0,0
4bSowGoBCue8G08Ea2xS,1199,500,0.417014178,67.31286084,0.180492051,1
7bSowGoBCue8G08Ea2xS,0,0,NaN,NaN,NaN,0
ALSowGoBCue8G08Ea21S,13,500,38.46153846,110.4444444,0.041609942,0
AbSowGoBCue8G08Ea21S,101,500,4.95049505,24.65406427,0.122901532,0
ArSowGoBCue8G08Ea21S,0,0,NaN,NaN,NaN,1
A7SowGoBCue8G08Ea21S,168,500,2.976190476,26.06391201,0.109455721,0
BbSowGoBCue8G08Ea21S,5,500,100,0,0,0
C7SowGoBCue8G08Ea21S,136,500,3.676470588,101.3174689,0.142501967,0
ELSowGoBCue8G08Ea21T,0,0,NaN,NaN,NaN,1
ErSowGoBCue8G08Ea21T,1,1,1,0,0,0
E7SowGoBCue8G08Ea21T,33,500,15.15151515,81.55,0.105608879,0
FLSowGoBCue8G08Ea21T,310,500,1.612903226,122.5032193,0.124064059,0
ObSowGoBCue8G08Ed23s,91,500,5.494505495,122.6777778,0.099816769,0
ArSowGoBCue8G08ETmbR,2,2,1,0,0,1
O7SowGoBCue8G08Ed23s,12,4,0.333333333,0,0,0
F7SowGoBCue8G08EYWz4,2,2,1,0.5,0.125500494,0
XrSowGoBCue8G08EV2pJ,5,5,1,0,0,1
PLSowGoBCue8G08Ed23s,15,500,33.33333333,0,0,0
PbSowGoBCue8G08Ed23s,3,3,1,0,0,0
PrSowGoBCue8G08Ed23s,87,500,5.747126437,105.6937618,0.064528707,0
QLSowGoBCue8G08Ed23s,48,500,10.41666667,124.625,0.07171882,0
QbSowGoBCue8G08Ed23s,9,3,0.333333333,0,0,0
ArSowGoBCue8G08ETmnV,2,2,1,0,0,1
Q7SowGoBCue8G08Ed23s,94,500,5.319148936,116.8422497,0.125414164,0
RbSowGoBCue8G08Ed23s,86,500,5.813953488,104.872428,0.146250242,0
RrSowGoBCue8G08Ed23s,125,500,4,34.07075963,0.135386505,0
X7SowGoBCue8G08Ed23s,0,0,NaN,NaN,NaN,0
YLSowGoBCue8G08Ed23s,0,0,NaN,NaN,NaN,0
